CreateMeshBuilder,
Cylinder,15,0.4,0.4,0.2
SetColor,175,175,175
Rotate,0,0,1,90
Translate,0.6,0.55,0.5

CreateMeshBuilder,
Cylinder,15,0.4,0.4,0.8
SetColor,175,175,175
Rotate,0,0,1,90
Translate,-0.9,0.55,0.5

;;

CreateMeshBuilder,
Cube,0.1,0.475,1.1
SetColor,175,175,175
Translate,0.6,0.475,1.6

CreateMeshBuilder,
Cube,0.4,0.475,1.1
SetColor,175,175,175
Translate,-0.9,0.475,1.6

;;

CreateMeshBuilder,
Cube,0.05,0.025,1.2
SetColor,0,0,0
Translate,0.6,0.97,1.6

CreateMeshBuilder,
Cube,0.05,0.025,1.2
SetColor,0,0,0
Translate,-0.6,0.97,1.6

;;

CreateMeshBuilder,
Cube,0.1,0.475,5
SetColor,175,175,175
Rotate,1,0,0,-35
Translate,0.6,3.1,6.567

CreateMeshBuilder,
Cube,0.4,0.475,5
SetColor,175,175,175
Rotate,1,0,0,-35
Translate,-0.9,3.1,6.567

;;

CreateMeshBuilder,
Cube,0.05,0.025,5
SetColor,0,0,0
Rotate,1,0,0,-35
Translate,0.6,3.6,6.35

CreateMeshBuilder,
Cube,0.05,0.025,5
SetColor,0,0,0
Rotate,1,0,0,-35
Translate,-0.6,3.6,6.35

;;

CreateMeshBuilder,
AddVertex,0.5,0,2
AddVertex,0.5,0.125,2.45
AddVertex,0.5,0.9,2
AddVertex,0.5,0.9,2
AddFace2,0,1,2,3
SetColor,175,175,175

CreateMeshBuilder,
AddVertex,0.7,0,2
AddVertex,0.7,0.125,2.45
AddVertex,0.7,0.9,2
AddVertex,0.7,0.9,2
AddFace2,0,1,2,3
SetColor,210,210,210

;;

CreateMeshBuilder,
AddVertex,-0.5,0,2
AddVertex,-0.5,0.125,2.45
AddVertex,-0.5,0.9,2
AddVertex,-0.5,0.9,2
AddFace2,3,2,1,0
SetColor,95,95,95

CreateMeshBuilder,
AddVertex,-0.7,0,2
AddVertex,-0.7,0.125,2.45
AddVertex,-0.7,0.9,2
AddVertex,-0.7,0.9,2
AddFace2,0,1,2,3
SetColor,175,175,175

;End and Wall

CreateMeshBuilder,
AddVertex,0.71,0,2
AddVertex,0.71,0,2.45
AddVertex,0.71,6,10
AddVertex,0.71,0,10
AddFace,0,1,2,3
SetColor,175,175,175

CreateMeshBuilder,
AddVertex,-2.7,0,2
AddVertex,-2.7,0,2.45
AddVertex,-2.7,6,10
AddVertex,-2.7,0,10
AddFace,3,2,1,0,
SetColor,175,175,175

CreateMeshBuilder,
AddVertex,0.71,0,10
AddVertex,0.71,6,10
AddVertex,0.71,6,15
AddVertex,0.71,0,15
AddFace,0,1,2,3
SetColor,175,175,175

CreateMeshBuilder,
AddVertex,-2.7,0,10
AddVertex,-2.7,6,10
AddVertex,-2.7,6,15
AddVertex,-2.7,0,15
AddFace,3,2,1,0,
SetColor,175,175,175

CreateMeshBuilder,
AddVertex,-2.7,0,15
AddVertex,0.7,0,15
AddVertex,0.7,6,15
AddVertex,-2.7,6,15
AddFace,0,1,2,3
SetColor,175,175,175

;Cylinder to Pillars

CreateMeshBuilder,
Cylinder,8,0.35,0.35,3
SetColor,160,160,160
Rotate,1,0,0,120
Translate, -1,3,4,

CreateMeshBuilder,
Cylinder,8,0.35,0.35,28
SetColor,160,160,160
Rotate,1,0,0,90
Translate, -1,3.2,-8,

CreateMeshBuilder,
Cylinder,8,0.35,0.35,2
SetColor,160,160,160
Rotate,1,0,0,120
Translate, -1,3.5,-22.5,
