CreateMeshBuilder,
Addvertex,-2.5,4.7,0,
Addvertex,-9.5,4.7,0,
Addvertex,-9.5,1,0,
Addvertex,-2.5,1,0,
Addface2,0,1,2,3,

GenerateNormals,

LoadTexture,wallfinchc.png,wallfinchc.png
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,1,0,
SetTextureCoordinates,2,1,1,
SetTextureCoordinates,3,0,1,

CreateMeshBuilder,
Addvertex,3.3,2,0,
Addvertex,3.3,3.6,0,
Addvertex,2,3.6,0,
Addvertex,2,2,0,
Addface2,0,1,2,3,

GenerateNormals,

LoadTexture,WallFinchInfo.png,WallFinchInfo.Png
SetTextureCoordinates,1,1,0,
SetTextureCoordinates,2,0,0,
SetTextureCoordinates,3,0,1,
SetTextureCoordinates,0,1,1,
SetDecalTransparentColor,0,0,255
Translate,-7,0,-0.1,
